1/3/19,2
1/4/19,2
1/5/19,2
1/6/19,2
1/7/19,2
1/8/19,11
1/9/19,7
1/10/19,7
1/11/19,15
1/12/19,11
1/13/19,7
1/14/19,4
1/15/19,6
1/16/19,5
1/17/19,3
1/18/19,3
1/19/19,3
1/20/19,2
1/21/19,100
1/22/19,68
1/23/19,26
1/24/19,26
1/25/19,15
1/26/19,16
1/27/19,60
1/28/19,62
1/29/19,64
1/30/19,29
1/31/19,15
2/1/19,17
2/2/19,16
2/3/19,11
2/4/19,6
2/5/19,6
2/6/19,14
2/7/19,6
2/8/19,6
2/9/19,7
2/10/19,7
2/11/19,15
2/12/19,13
2/13/19,15
2/14/19,8
2/15/19,6
2/16/19,7
2/17/19,8
2/18/19,8
2/19/19,12
2/20/19,12
2/21/19,17
2/22/19,15
2/23/19,13
2/24/19,12
2/25/19,7
2/26/19,6
2/27/19,5
2/28/19,4
3/1/19,3
3/2/19,3
3/3/19,4
3/4/19,3
3/5/19,3
3/6/19,3
3/7/19,3
3/8/19,3
3/9/19,3
3/10/19,3
3/11/19,3
3/12/19,3
3/13/19,2
3/14/19,4
3/15/19,3
3/16/19,3
3/17/19,3
3/18/19,3
3/19/19,3
3/20/19,5
3/21/19,3
3/22/19,3
3/23/19,3
3/24/19,3
3/25/19,3
3/26/19,5
3/27/19,5
3/28/19,3
3/29/19,3
3/30/19,3
3/31/19,3